ID	Old assigned taxonomy	New assigned taxonomy	Type of change
44547	k__Bacteria|p__Firmicutes|c__CFGB10249|o__OFGB10249|f__FGB10249|g__GGB31243|s__GGB31243_SGB44547|t__SGB44547	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44547	From uSGB to kSGB
44552	k__Bacteria|p__Fusobacteria|c__CFGB10251|o__OFGB10251|f__FGB10251|g__GGB31247|s__GGB31247_SGB44552|t__SGB44552	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB44552	From uSGB to kSGB
46988	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_SGB46988|t__SGB46988	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB46988	From uSGB to kSGB
46989	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_SGB46989|t__SGB46989	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB46989	From uSGB to kSGB
46999	k__Bacteria|p__Proteobacteria|c__CFGB13267|o__OFGB13267|f__FGB13267|g__GGB36960|s__GGB36960_SGB46999|t__SGB46999	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB46999	From uSGB to kSGB
47004	k__Bacteria|p__Proteobacteria|c__CFGB10898|o__OFGB10898|f__FGB10898|g__GGB32749|s__GGB32749_SGB47004|t__SGB47004	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB47004	From uSGB to kSGB
47005	k__Bacteria|p__Proteobacteria|c__CFGB11167|o__OFGB11167|f__FGB11167|g__GGB33126|s__GGB33126_SGB47005|t__SGB47005	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB47005	From uSGB to kSGB
48962	k__Bacteria|p__Actinobacteria|c__CFGB13252|o__OFGB13252|f__FGB13252|g__GGB36938|s__GGB36938_SGB48962|t__SGB48962	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_bacterium|t__SGB48962	From uSGB to kSGB
48964	k__Bacteria|p__Actinobacteria|c__CFGB12370|o__OFGB12370|f__FGB12370|g__GGB35209|s__GGB35209_SGB48964|t__SGB48964	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_bacterium|t__SGB48964	From uSGB to kSGB
48966	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__GGB37224|s__GGB37224_SGB48966|t__SGB48966	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_bacterium|t__SGB48966	From uSGB to kSGB
