ID	Old assigned taxonomy	New assigned taxonomy	Type of change
16677	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_SGB16677|t__SGB16677	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus|t__SGB16677	From uSGB to kSGB
18878	k__Bacteria|p__Proteobacteria|c__CFGB4023|o__OFGB4023|f__FGB4023|g__GGB12105|s__GGB12105_SGB18878|t__SGB18878	k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified|f__Chloroflexi_unclassified|g__Chloroflexi_unclassified|s__SAR202_cluster_bacterium_AG_410_A08|t__SGB18878	From uSGB to kSGB
18912	k__Bacteria|p__Firmicutes|c__CFGB4034|o__OFGB4034|f__FGB4034|g__GGB12130|s__GGB12130_SGB18912|t__SGB18912	k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified|f__Chloroflexi_unclassified|g__Chloroflexi_unclassified|s__SAR202_cluster_bacterium_AG_426_M11|t__SGB18912	From uSGB to kSGB
19903	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12797|s__GGB12797_SGB19903|t__SGB19903	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__TM7_phylum_sp_oral_taxon_488|t__SGB19903	From uSGB to kSGB
19921	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12807|s__GGB12807_SGB19921|t__SGB19921	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__TM7_phylum_sp_oral_taxon_955|t__SGB19921	From uSGB to kSGB
22075	k__Bacteria|p__Proteobacteria|c__CFGB5073|o__OFGB5073|f__FGB5073|g__GGB14543|s__GGB14543_SGB22075|t__SGB22075	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified|f__Alphaproteobacteria_unclassified|g__Alphaproteobacteria_unclassified|s__SAR116_cluster_bacterium_AG_355_O21|t__SGB22075	From uSGB to kSGB
22089	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__GGB14556|s__GGB14556_SGB22089|t__SGB22089	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_AG_686_A03|t__SGB22089	From uSGB to kSGB
24232	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__GGB15956|s__GGB15956_SGB24232|t__SGB24232	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_hibiscisoli|t__SGB24232	From uSGB to kSGB
25051	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__GGB16604|s__GGB16604_SGB25051|t__SGB25051	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Facklamia|s__Facklamia_tabacinasalis|t__SGB25051	From uSGB to kSGB
35082	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_SGB35082|t__SGB35082	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Paenarthrobacter|s__Paenarthrobacter_nitroguajacolicus|t__SGB35082	From uSGB to kSGB
